,State,Primary,Secondary,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
0,Andhra Pradesh,16303716,10488884,22032942,48825542,5512100,1690800,52646842,501510,104977
1,Arunachal Pradesh,716959,287489,631844,1636292,70099,30272,1676119,14870,112718
2,Assam,5326697,4033091,9307109,18666897,1725309,582406,19809800,326780,60621
3,Bihar,8019997,5984896,22179969,36184863,3213546,2006421,37391988,1101240,33954
4,Chhattisgarh,6400817,8238886,7588778,22228481,2601791,1332092,23498180,270530,86860
5,Goa,312129,1547536,1738217,3597882,527279,61854,4063307,14950,271793
6,Gujarat,15887187,33023538,30220377,79131102,12353171,1981546,89502727,633590,141263
7,Haryana,8040424,12561411,19226568,39828404,4985670,1067867,43746207,266620,164077
8,Himachal Pradesh,1548366,4119162,4133326,9800853,895317,259291,10436879,70840,147330
9,Jharkhand,5248354,6241471,8133341,19623166,2499171,411619,21710718,349660,62091
10,Karnataka,12066304,20484404,50490630,83041338,11026674,1889206,92178806,635100,145141
11,Kerala,6489442,12070040,29673778,48233259,5189352,822381,52600230,339843,154778
12,Madhya Pradesh,17854020,10044889,18117360,46016269,4284700,2102800,48198169,765180,62989
13,Maharashtra,21758383,47445207,88631076,157834665,25394800,4017300,179212165,1172450,152853
14,Manipur,383140,220173,1177334,1780647,92766,69137,1804276,30873,58442
15,Meghalaya,451050,637942,1200655,2289647,213272,62112,2440807,32020,76228
16,Mizoram,225598,270072,637619,1133289,43084,20440,1155933,11833,97687
17,Nagaland,616178,212361,992956,1821495,57674,37745,1841424,20550,89607
18,Odisha,9009306,8989693,12256258,30255256,3151184,1209349,32197092,435220,73979
19,Punjab,9296070,7904914,16717805,33918789,3794100,911800,36801089,290673,126606
20,Rajasthan,19113780,13028794,26015812,58158386,5394503,2333442,61219447,721610,84837
21,Sikkim,138776,845253,483103,1467133,72200,18400,1520933,6330,240274
22,Tamil Nadu,13329774,32841892,53343788,99515453,12507325,2766405,109256373,745760,146503
23,Telangana,9133354,9924001,28471410,47528765,4425700,836700,51117765,367660,139035
24,Tripura,942216,484393,1484709,2911319,149345,94002,2966662,38350,77358
25,Uttar Pradesh,25999255,25548724,45968959,97516938,10107396,3287219,104337115,2109940,49450
26,Uttarakhand,1845972,7642865,5587975,15076812,1434856,313139,16198529,105820,153076
