,Sub-Sectors,Sector,State,GPV
0,Crops,Primary,Andhra Pradesh,7893514.0
1,Livestock,Primary,Andhra Pradesh,4309078.0
2,Forestry and logging,Primary,Andhra Pradesh,346160.0
3,Fishing and aquaculture,Primary,Andhra Pradesh,2270664.0
4,Mining and quarrying,Primary,Andhra Pradesh,1484300.0
5,Manufacturing,Secondary,Andhra Pradesh,4672266.0
6,"Electricity, gas, water supply & other utility services",Secondary,Andhra Pradesh,1151729.0
7,Construction,Secondary,Andhra Pradesh,4664889.0
8,Trade & repair services,Tertiary,Andhra Pradesh,3716000.0
9,Hotels & restaurants,Tertiary,Andhra Pradesh,517400.0
10,Railways,Tertiary,Andhra Pradesh,424228.0
11,Road transport,Tertiary,Andhra Pradesh,2816000.0
12,Water transport,Tertiary,Andhra Pradesh,94200.0
13,Air transport,Tertiary,Andhra Pradesh,14900.0
14,Services incidental to transport,Tertiary,Andhra Pradesh,780200.0
15,Storage,Tertiary,Andhra Pradesh,18700.0
16,Communication & services related to broadcasting,Tertiary,Andhra Pradesh,928756.0
17,Financial services,Tertiary,Andhra Pradesh,1900863.0
18,"Real estate, ownership of dwelling & professional services",Tertiary,Andhra Pradesh,4405409.0
19,Public administration,Tertiary,Andhra Pradesh,2200897.0
20,Other services,Tertiary,Andhra Pradesh,4215389.0
21,Crops,Primary,Arunachal Pradesh,415520.0
22,Livestock,Primary,Arunachal Pradesh,38387.0
23,Forestry and logging,Primary,Arunachal Pradesh,224017.0
24,Fishing and aquaculture,Primary,Arunachal Pradesh,8193.0
25,Mining and quarrying,Primary,Arunachal Pradesh,30842.0
26,Manufacturing,Secondary,Arunachal Pradesh,26120.0
27,"Electricity, gas, water supply & other utility services",Secondary,Arunachal Pradesh,113527.0
28,Construction,Secondary,Arunachal Pradesh,147842.0
29,Trade & repair services,Tertiary,Arunachal Pradesh,56796.0
30,Hotels & restaurants,Tertiary,Arunachal Pradesh,3625.0
31,Railways,Tertiary,Arunachal Pradesh,59.0
32,Road transport,Tertiary,Arunachal Pradesh,15467.0
33,Water transport,Tertiary,Arunachal Pradesh,0.0
34,Air transport,Tertiary,Arunachal Pradesh,0.0
35,Services incidental to transport,Tertiary,Arunachal Pradesh,109.0
36,Storage,Tertiary,Arunachal Pradesh,0.0
37,Communication & services related to broadcasting,Tertiary,Arunachal Pradesh,19568.0
38,Financial services,Tertiary,Arunachal Pradesh,25207.0
39,"Real estate, ownership of dwelling & professional services",Tertiary,Arunachal Pradesh,48418.0
40,Public administration,Tertiary,Arunachal Pradesh,243867.0
41,Other services,Tertiary,Arunachal Pradesh,218728.0
42,Crops,Primary,Assam,2890544.0
43,Livestock,Primary,Assam,173478.0
44,Forestry and logging,Primary,Assam,261987.0
45,Fishing and aquaculture,Primary,Assam,529539.0
46,Mining and quarrying,Primary,Assam,1471149.0
47,Manufacturing,Secondary,Assam,2002936.0
48,"Electricity, gas, water supply & other utility services",Secondary,Assam,296587.0
49,Construction,Secondary,Assam,1733568.0
50,Trade & repair services,Tertiary,Assam,2876251.0
51,Hotels & restaurants,Tertiary,Assam,110904.0
52,Railways,Tertiary,Assam,252509.0
53,Road transport,Tertiary,Assam,507668.0
54,Water transport,Tertiary,Assam,4502.0
55,Air transport,Tertiary,Assam,26223.0
56,Services incidental to transport,Tertiary,Assam,35739.0
57,Storage,Tertiary,Assam,10308.0
58,Communication & services related to broadcasting,Tertiary,Assam,357619.0
59,Financial services,Tertiary,Assam,543651.0
60,"Real estate, ownership of dwelling & professional services",Tertiary,Assam,1412466.0
61,Public administration,Tertiary,Assam,1373611.0
62,Other services,Tertiary,Assam,1795658.0
63,Crops,Primary,Bihar,4688237.0
64,Livestock,Primary,Bihar,2060296.0
65,Forestry and logging,Primary,Bihar,550132.0
66,Fishing and aquaculture,Primary,Bihar,653224.0
67,Mining and quarrying,Primary,Bihar,68107.0
68,Manufacturing,Secondary,Bihar,2189965.0
69,"Electricity, gas, water supply & other utility services",Secondary,Bihar,345168.0
70,Construction,Secondary,Bihar,3449763.0
71,Trade & repair services,Tertiary,Bihar,7081391.0
72,Hotels & restaurants,Tertiary,Bihar,366982.0
73,Railways,Tertiary,Bihar,462413.0
74,Road transport,Tertiary,Bihar,1572288.0
75,Water transport,Tertiary,Bihar,2228.0
76,Air transport,Tertiary,Bihar,13599.0
77,Services incidental to transport,Tertiary,Bihar,166600.0
78,Storage,Tertiary,Bihar,10618.0
79,Communication & services related to broadcasting,Tertiary,Bihar,919427.0
80,Financial services,Tertiary,Bihar,1178022.0
81,"Real estate, ownership of dwelling & professional services",Tertiary,Bihar,3740641.0
82,Public administration,Tertiary,Bihar,2078171.0
83,Other services,Tertiary,Bihar,4587589.0
84,Crops,Primary,Chhattisgarh,2613371.0
85,Livestock,Primary,Chhattisgarh,352208.0
86,Forestry and logging,Primary,Chhattisgarh,597785.0
87,Fishing and aquaculture,Primary,Chhattisgarh,385483.0
88,Mining and quarrying,Primary,Chhattisgarh,2451970.0
89,Manufacturing,Secondary,Chhattisgarh,4370593.0
90,"Electricity, gas, water supply & other utility services",Secondary,Chhattisgarh,1198438.0
91,Construction,Secondary,Chhattisgarh,2669855.0
92,Trade & repair services,Tertiary,Chhattisgarh,1414164.0
93,Hotels & restaurants,Tertiary,Chhattisgarh,121407.0
94,Railways,Tertiary,Chhattisgarh,159176.0
95,Road transport,Tertiary,Chhattisgarh,386628.0
96,Water transport,Tertiary,Chhattisgarh,0.0
97,Air transport,Tertiary,Chhattisgarh,9507.0
98,Services incidental to transport,Tertiary,Chhattisgarh,5232.0
99,Storage,Tertiary,Chhattisgarh,16675.0
100,Communication & services related to broadcasting,Tertiary,Chhattisgarh,294552.0
101,Financial services,Tertiary,Chhattisgarh,739057.0
102,"Real estate, ownership of dwelling & professional services",Tertiary,Chhattisgarh,2462166.0
103,Public administration,Tertiary,Chhattisgarh,867982.0
104,Other services,Tertiary,Chhattisgarh,1112232.0
105,Crops,Primary,Goa,140421.0
106,Livestock,Primary,Goa,30141.0
107,Forestry and logging,Primary,Goa,15744.0
108,Fishing and aquaculture,Primary,Goa,122201.0
109,Mining and quarrying,Primary,Goa,3622.0
110,Manufacturing,Secondary,Goa,1177608.0
111,"Electricity, gas, water supply & other utility services",Secondary,Goa,204110.0
112,Construction,Secondary,Goa,165819.0
113,Trade & repair services,Tertiary,Goa,343492.0
114,Hotels & restaurants,Tertiary,Goa,37434.0
115,Railways,Tertiary,Goa,15649.0
116,Road transport,Tertiary,Goa,46171.0
117,Water transport,Tertiary,Goa,17820.0
118,Air transport,Tertiary,Goa,46359.0
119,Services incidental to transport,Tertiary,Goa,19272.0
120,Storage,Tertiary,Goa,357.0
121,Communication & services related to broadcasting,Tertiary,Goa,44028.0
122,Financial services,Tertiary,Goa,233618.0
